Epoch 1/30 - Train Acc: 0.3349, Val Acc: 0.3363, Loss: 2.6768
Epoch 2/30 - Train Acc: 0.3355, Val Acc: 0.3193, Loss: 1.1635
Epoch 3/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.1086
Epoch 4/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.1011
Epoch 5/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0994
Epoch 6/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0995
Epoch 7/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0995
Epoch 8/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0994
Epoch 9/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0994
Epoch 10/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0992
Epoch 11/30 - Train Acc: 0.3318, Val Acc: 0.3193, Loss: 1.0991
Epoch 12/30 - Train Acc: 0.3319, Val Acc: 0.3193, Loss: 1.0989
Epoch 13/30 - Train Acc: 0.3346, Val Acc: 0.3183, Loss: 1.0988
Epoch 14/30 - Train Acc: 0.3333, Val Acc: 0.3123, Loss: 1.0985
Epoch 15/30 - Train Acc: 0.3306, Val Acc: 0.3133, Loss: 1.0987
Epoch 16/30 - Train Acc: 0.3350, Val Acc: 0.3193, Loss: 1.0983
Epoch 17/30 - Train Acc: 0.3339, Val Acc: 0.3203, Loss: 1.0983
Epoch 18/30 - Train Acc: 0.3299, Val Acc: 0.3183, Loss: 1.0980
Epoch 19/30 - Train Acc: 0.3295, Val Acc: 0.3183, Loss: 1.0979
Epoch 20/30 - Train Acc: 0.3395, Val Acc: 0.3183, Loss: 1.0974
Epoch 21/30 - Train Acc: 0.3368, Val Acc: 0.3203, Loss: 1.0973
Epoch 22/30 - Train Acc: 0.3398, Val Acc: 0.3223, Loss: 1.0971
Epoch 23/30 - Train Acc: 0.3401, Val Acc: 0.3133, Loss: 1.0965
Epoch 24/30 - Train Acc: 0.3473, Val Acc: 0.3243, Loss: 1.0961
Epoch 25/30 - Train Acc: 0.3446, Val Acc: 0.3153, Loss: 1.0958
Epoch 26/30 - Train Acc: 0.3448, Val Acc: 0.3233, Loss: 1.0955
Epoch 27/30 - Train Acc: 0.3522, Val Acc: 0.3383, Loss: 1.0950
Epoch 28/30 - Train Acc: 0.3534, Val Acc: 0.3413, Loss: 1.0939
Epoch 29/30 - Train Acc: 0.3539, Val Acc: 0.3393, Loss: 1.0930
Epoch 30/30 - Train Acc: 0.3565, Val Acc: 0.3504, Loss: 1.0923
